AIDS,PIB,Usuários Internet,Crescimento Populacional,Desemprego,Investimentos Educação,Analfabetismo 15 e 24,Analfabetismo 25 e 64,Qtd Professores EF,Crianças Fora Escola,Qtd Alunos por professor,Qtd Alunos EF
0.0,30.92,20.68,2.64,4.1,3.03,812358.0,1993215.51,105388.0,4.89,41.47,95.11
0.0,1.99,2.0,1.0,6.2,1.2,569841.0,979124.59,7553.0,30.31,84.32,69.69
0.0,2.21,2.2,0.62,6.2,1.22,569841.0,979124.59,7974.0,32.23,81.31,67.77
0.0,2.18,3.0,0.32,6.2,1.22,569841.0,979124.59,8267.0,29.16,80.12,70.84
0.0,1.52,3.4,0.21,5.6,1.22,569841.0,979124.59,8267.0,29.16,80.12,70.84
0.0,1.7,3.6,0.35,6.1,1.22,569841.0,979124.59,8267.0,29.16,80.12,70.84
0.0,1.58,3.8,0.68,6.2,1.22,569841.0,979124.59,8267.0,29.16,80.12,70.84
0.0,10.66,1.7,3.29,5.9,1.98,569841.0,979124.59,27764.0,29.16,62.2,70.84
0.0,12.16,1.9,3.32,5.7,2.26,569841.0,979124.59,30813.0,36.96,62.59,63.04
0.0,12.37,2.1,3.33,5.8,2.21,569841.0,979124.59,34125.0,36.96,61.27,63.04
0.0,12.95,2.5,3.32,5.8,2.85,569841.0,979124.59,37336.0,20.88,62.43,79.12
0.0,13.92,2.9,3.26,5.8,2.85,569841.0,979124.59,37336.0,20.88,62.43,79.12
0.0,10.89,3.5,3.19,5.7,2.85,1733809.0,3265709.16,37336.0,20.88,62.43,79.12
1.0,218.54,45.0,0.97,8.1,4.18,1733809.0,3265709.16,66059.0,4.95,23.41,95.05
1.0,252.25,52.25,0.94,7.1,4.08,16618.0,230679.72,69191.0,6.29,21.97,93.71
1.0,267.12,55.05,0.91,6.4,4.58,16618.0,230679.72,71073.0,6.86,21.16,93.14
1.0,278.38,58.0,0.88,5.9,4.56,26452.0,272476.63,75405.0,7.49,19.53,92.51
1.0,260.99,61.11,0.86,6.4,4.75,26452.0,272476.63,75405.0,6.93,19.53,93.07
1.0,242.52,64.29,0.84,6.2,4.92,26452.0,272476.63,75405.0,5.64,19.53,94.36
1.0,287.02,36.5,1.1,11.8,4.83,160666.0,1353896.49,180760.0,2.78,28.13,97.22
1.0,335.42,40.35,1.06,10.9,4.46,148505.0,1366926.57,178550.0,2.68,27.58,97.32
0.0,369.66,48.98,1.02,10.4,4.39,148505.0,1366926.57,189335.0,5.65,25.05,94.35
0.0,380.19,51.7,0.98,9.7,4.91,148505.0,1366926.57,188462.0,6.92,24.98,93.08
1.0,378.2,52.57,0.94,9.2,4.66,121860.0,1258162.78,187042.0,7.74,24.29,92.26
0.0,291.52,55.9,0.91,9.0,4.49,121588.0,1255798.48,188208.0,6.83,23.8,93.17
0.0,0.53,5.1,2.41,20.1,4.49,121588.0,1255798.48,188208.0,6.83,23.8,93.17
0.0,0.59,5.5,2.42,20.0,4.94,121588.0,1255798.48,4201.0,6.83,27.75,93.17
0.0,0.57,5.98,2.42,20.0,4.88,41920.0,150926.06,4201.0,6.83,27.75,93.17
0.0,0.62,6.5,2.41,19.9,4.3,41920.0,150926.06,4322.0,14.73,27.81,85.27
0.0,0.65,6.98,2.38,19.8,4.87,41920.0,150926.06,4322.0,18.7,27.81,81.3
0.0,0.57,7.46,2.35,19.7,4.34,41920.0,150926.06,4322.0,18.7,27.81,81.3
0.0,37.27,36.5,1.26,8.9,6.63,41920.0,150926.06,29163.0,18.7,17.85,81.3
1.0,42.26,39.21,1.21,10.3,6.45,7166.0,51445.23,29233.0,0.56,17.34,99.44
0.0,46.47,47.5,1.16,10.2,6.68,7166.0,51445.23,29233.0,0.53,17.34,99.47
1.0,49.75,45.96,1.12,9.4,6.87,7166.0,51445.23,35986.0,1.53,13.34,98.47
0.0,50.66,53.0,1.08,9.6,6.93,7166.0,51445.23,35967.0,3.64,13.23,96.36
1.0,54.84,59.76,1.05,9.6,7.18,7166.0,51445.23,37349.0,3.38,12.68,96.62
0.0,59.67,56.55,-0.26,11.6,4.25,7166.0,51445.23,11746.0,5.4,14.26,94.6
0.0,62.24,57.79,-0.26,13.7,4.15,1379.0,8457.85,11726.0,3.17,13.83,96.83
1.0,56.49,61.94,-0.31,15.9,4.15,1379.0,8457.85,11696.0,1.59,13.68,98.41
0.0,57.77,66.75,-0.28,17.3,4.58,1379.0,8457.85,11696.0,1.73,13.68,98.27
0.0,57.08,68.57,-0.41,17.3,4.58,1379.0,8457.85,11741.0,1.65,13.7,98.35
0.0,48.92,69.8,-0.82,16.3,4.58,1379.0,8457.85,11849.0,1.63,13.7,98.37
1.0,64.33,15.9,0.13,2.5,12.84,1379.0,8457.85,93414.0,0.21,9.13,99.79
1.0,68.99,16.02,0.19,3.2,12.84,1379.0,8457.85,90918.0,1.33,9.11,98.67
0.0,73.14,21.2,0.24,3.5,12.84,1905.0,15925.31,88699.0,2.96,9.06,97.04
0.0,77.15,27.93,0.26,3.3,12.84,1905.0,15925.31,85202.0,3.58,9.06,96.42
0.0,80.66,29.07,0.24,2.7,12.84,1905.0,15925.31,84209.0,6.76,9.07,93.24
0.0,87.13,37.31,0.19,2.4,12.84,1905.0,15925.31,83798.0,7.75,8.9,92.25
0.0,1.13,6.5,1.7,6.1,4.48,1905.0,15925.31,83798.0,7.75,8.9,92.25
0.0,1.24,7.0,1.72,6.2,4.48,1905.0,15925.31,1731.0,42.32,35.24,57.68
0.0,1.35,8.27,1.75,6.1,4.48,1905.0,15925.31,1821.0,42.32,34.93,57.68
0.0,1.46,9.5,1.74,6.0,4.48,1905.0,15925.31,1852.0,42.94,34.22,57.06
0.0,1.59,10.71,1.71,6.0,4.48,1905.0,15925.31,1935.0,35.36,33.24,64.64
0.0,1.73,11.92,1.66,6.0,4.48,1905.0,15925.31,1906.0,42.63,33.02,57.37
0.0,53.95,31.4,1.32,12.4,4.48,59775.0,455534.59,51615.0,7.85,25.53,92.15
0.0,57.75,38.0,1.3,14.7,4.48,55511.0,444812.99,51464.0,8.77,25.46,91.23
0.0,60.61,42.32,1.27,14.7,4.48,56232.0,447051.99,54322.0,10.68,23.63,89.32
0.0,61.97,45.9,1.24,15.0,4.48,47605.0,434893.43,54959.0,11.89,23.49,88.11
0.0,65.23,49.58,1.2,14.5,4.48,44030.0,389836.84,61659.0,14.2,20.56,85.8
0.0,68.1,54.22,1.17,14.5,4.48,45546.0,373962.89,71463.0,11.25,18.29,88.75
0.0,69.56,29.03,1.64,5.0,4.51,37986.0,434592.95,90744.96,3.23,23.13,96.77
0.0,79.28,31.37,1.61,4.2,4.73,37320.0,430083.41,96192.52,2.98,21.98,97.02
1.0,87.92,35.14,1.58,4.1,4.64,33645.0,413085.83,97188.9,3.26,21.9,96.74
0.0,95.13,40.28,1.56,4.2,5.0,40514.0,376685.57,94623.59,3.58,22.08,96.42
0.0,101.73,45.59,1.53,3.8,5.25,26395.0,336520.32,88793.87,1.92,23.29,98.08
0.0,99.29,48.94,1.51,4.8,4.96,25645.0,329155.07,84768.77,2.03,24.7,97.97
0.0,21.42,15.9,0.44,7.0,3.49,47516.0,412226.39,84768.77,3.87,24.7,96.13
0.0,23.14,18.9,0.45,6.6,3.42,41757.0,385907.99,30755.0,4.15,29.29,95.85
0.0,23.81,20.32,0.46,6.1,3.33,41757.0,385907.99,30755.0,4.29,29.29,95.71
0.0,24.35,23.11,0.47,5.9,3.43,34259.0,361308.44,30755.0,4.23,29.29,95.77
0.0,25.05,24.76,0.49,7.0,3.45,34259.0,361308.44,30755.0,5.89,29.29,94.11
0.0,26.05,26.8,0.5,7.0,3.55,25389.0,332773.15,24967.46,7.88,29.69,92.12
1.0,16.3,6.0,4.52,5.8,3.55,25389.0,332773.15,3131.0,47.01,27.17,52.99
1.0,21.33,11.5,4.44,6.1,3.55,25389.0,332773.15,3111.0,44.7,27.91,55.3
0.0,22.39,13.94,4.36,6.1,3.55,25389.0,332773.15,3517.0,42.11,26.17,57.89
0.0,21.94,16.4,4.26,5.9,3.55,25389.0,332773.15,3517.0,42.11,26.17,57.89
1.0,21.74,18.86,4.13,5.9,3.55,25389.0,332773.15,3517.0,42.11,26.17,57.89
1.0,12.6,21.32,3.99,5.8,3.55,25389.0,332773.15,4021.0,43.2,23.23,56.8
0.0,2.12,0.61,1.85,6.6,3.55,25389.0,332773.15,7535.0,61.71,37.96,38.29
0.0,2.61,0.7,1.89,6.6,3.55,25389.0,332773.15,7704.0,59.42,40.46,40.58
0.0,2.61,0.8,1.89,6.6,3.55,25389.0,332773.15,8166.0,57.36,40.93,42.64
0.0,2.61,0.9,1.89,6.4,3.55,25389.0,332773.15,8680.0,59.35,45.67,40.65
0.0,2.61,0.99,1.89,6.4,3.55,25389.0,332773.15,8515.0,59.31,42.47,40.69
0.0,2.61,1.08,1.89,6.4,3.55,25389.0,332773.15,8346.0,60.86,43.34,39.14
0.0,29.93,0.75,2.64,5.2,4.5,25389.0,332773.15,252232.0,25.55,54.06,74.45
0.0,31.95,1.1,2.64,5.2,5.48,25389.0,332773.15,259636.0,21.58,55.07,78.42
0.0,43.31,2.9,2.63,5.9,5.57,25389.0,332773.15,259636.0,20.32,55.07,79.68
0.0,47.65,4.6,2.61,5.0,4.5,25389.0,332773.15,259636.0,20.32,55.07,79.68
0.0,55.61,7.7,2.58,5.0,4.5,25389.0,332773.15,259636.0,13.51,55.07,86.49
0.0,64.46,11.6,2.54,5.0,4.5,25389.0,332773.15,259636.0,13.83,55.07,86.17
0.0,3.14,20.0,0.93,8.9,4.5,25389.0,332773.15,259636.0,13.83,55.07,86.17
0.0,3.77,28.0,0.83,9.0,4.17,25389.0,332773.15,3296.0,0.96,30.76,99.04
0.0,3.97,33.74,0.75,9.0,4.17,25389.0,332773.15,3671.0,1.31,28.0,98.69
1.0,4.19,35.2,0.7,8.9,3.88,25389.0,332773.15,3671.0,2.96,28.0,97.04
0.0,4.47,37.4,0.69,8.9,3.88,25389.0,332773.15,3671.0,2.96,28.0,97.04
1.0,4.39,42.5,0.71,8.9,3.88,25389.0,332773.15,3671.0,1.97,28.0,98.03
1.0,2646.84,77.28,0.49,9.3,5.68,25389.0,332773.15,234098.0,0.74,17.77,99.26
0.0,2862.68,77.82,0.48,9.2,5.51,25389.0,332773.15,238141.0,0.96,17.52,99.04
1.0,2681.42,81.44,0.48,9.8,5.53,25389.0,332773.15,233262.0,1.07,17.82,98.93
1.0,2808.51,81.92,0.51,10.4,5.49,25389.0,332773.15,229471.0,0.66,18.18,99.34
0.0,2849.31,83.75,0.5,10.3,5.49,25389.0,332773.15,229471.0,0.56,18.18,99.44
0.0,2433.56,84.69,0.44,10.4,5.49,25389.0,332773.15,229471.0,0.56,18.18,99.44
0.0,14.36,13.0,3.31,20.4,3.08,25389.0,332773.15,229471.0,0.56,18.18,99.44
0.0,18.19,18.0,3.41,20.4,2.99,25389.0,332773.15,12961.0,0.56,24.53,99.44
0.0,17.17,24.0,3.46,20.2,3.01,37354.0,110383.96,12961.0,0.56,24.53,99.44
